dyu,fr
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],en tout cas  je le souhaite
"[{'translation_text': ""I'd like to make two comments.""}]",je ferai deux remarques
[{'translation_text': 'They are extremely knownfr they are extremely knownfr they are extremely knownfr they are extremely well knownfr they are extremely well knownfr they are extremely well knownfr they are extremely well knownfr they are extremely well knownfr they are extremely well knownfr'}],ils sont extrèmement connus
[{'translation_text': 'The other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges were electedfrom the other judges'}],les autres juges étaient élus
[{'translation_text': 'Cela commence malfrfrfr ça commence malfr'}],cela commence mal
[{'translation_text': 'Mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr mais cet ami est sacréfr'}],mais cet ami est sacré
[{'translation_text': 'he said somethingfrfrfr he said somethingfrfr he said somethingfr he said somethingfr'}],il a dit quelque chose
[{'translation_text': 'ai une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseauxfrr une paire de ciseaux'}],j’ai une paire de ciseaux
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],on fait attendre les gens
[{'translation_text': '1⁄2 l. susu'}],un demi litre de lait
[{'translation_text': 'est assez bonfr est assez bonfr'}],c’est assez bon
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],ruiné  il rentre à paris
"[{'translation_text': ""combien d'enfantsfr  combien d'enfantsfr ""}]",combien d'enfants
[{'translation_text': 'Vous parlez anglaisfr Vous parlez anglaisfr'}],vous parlez anglais
[{'translation_text': 'fr apapun apapun'}],n’importe quoi
"[{'translation_text': ""he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love his wife he doesn't love her he doesn't love her he doesn't love her he doesn't love her he doesn't love her he doesn't love her he doesn't love her he doesn't love her he doesn't love her he doesn't love her""}]",il n’aime donc pas sa femme
"[{'translation_text': ""nous étions en train d'allerfr étions en train d'aller""}]",nous étions en train d'aller
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],ils ont chacun un chapeau
[{'translation_text': 'est ce que cfrest mauvais? est ce que cfrest mauvais? est ce que cfrest mauvais? est ce que cfrest mauvais? est ce que cfrest mauvais?'}],qu’est ce que c’est mauvais
[{'translation_text': 'What color is it?️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],de quelle couleur il est
[{'translation_text': 'La Vierge Mariefr la virge mariefr est la femme la plus aimée de Dieu.La Vierge Mariefr est la femme la plus aimée de Dieu.La Vierge Mariefr est la femme la plus aimée de Dieu.'}],la vierge marie
[{'translation_text': 'cette maison te plairafrfr vous plairez cette maison vous plairez cette maison vous plairez cette maison vous plairez cette maison vous plairez cette maison vous plairez cette maison vous plairez cette maison vous plairez cette maison vous plairez'}],cette maison te plaira
[{'translation_text': 'they lovedfr they lovedfr they lovedfr they lovedfr'}],elles  elles ont aimé
[{'translation_text': 'tu es sûr que tu aimerasfr tu es sûr que tu aimerasfr'}],tu es sûr que tu aimeras
[{'translation_text': 'Où travaillez vousfr ? - Où travaillez-vous ? - Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Awadhi: Aw'}],où travaillez vous
"[{'translation_text': ""I don't wanna go, I don't wanna go, I don't want to go, I don't want to go, I don't want to go, I don't want to go, I don't want to go, I don't want to go, I don't want to go, I don't want to go, I don't want to go, I don't want to go.""}]",je ne veux pas partir
[{'translation_text': 'elle est partiefr elle est partiefr'}],elle est partie
[{'translation_text': 'vous avez mangé ensemblefr / vous avez mangé ensemblefr'}],vous avez mangé ensemble
[{'translation_text': 'comment le savez vousfrfr?'}],comment le savez vous
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],c'est à qui de jouer
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il se rassit  croisa les bras
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],tu es sûr que tu aimas
[{'translation_text': 'nous y serons attentifsfr nous y serons attentifsfr Nous serons attentifsfr Nous serons attentifsfr Nous serons attentifs'}],nous y serons attentifs
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],c'est un centre industriel
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],les enfants  venez manger
[{'translation_text': 'ils la complimentefr ils la complimententfr ils la complimententfr'}],ils la complimentaient
[{'translation_text': 'il sort par la droitefr Il sort par la droitefr Il sort par la droitefr Il sort par la droitefr Il sort par la droitefr Il sort par la droitefr Il sort par la droitefr Il sort par la droitefr Il sort par la droite'}],il sort par la droite
[{'translation_text': 'ilfr toussa encore'}],il toussa encore
[{'translation_text': 'in the head and le cœurfr /dl ɔl ɔl ɔl ɔl ɔl'}],dans la tête et le cœur
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],respectez le ministre
[{'translation_text': 'Que animal tan tonto es!'}],quel stupide animal
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],pas un mo sur ça
[{'translation_text': 'quatrefr éléphants                                                                                                 '}],quatre éléphants
[{'translation_text': 'I received their offerfrom this morning. ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️'}],j'ai reçu leur offre ce matin
